condition,condition_pretty,mean,metric_key,model_label,model_label_pretty,n,sem
control,Emergent (SC),54.666666666666664,percentile_midrank,together-kimik2-Instruct,Kimi-K2-Inst,10,11.760994331021546
control,Emergent (SC),0.05703714001267831,z_score,together-kimik2-Instruct,Kimi-K2-Inst,10,0.4107243883492583
control,Emergent (SC),0.1633482376568459,actual_reward_advantage,together-kimik2-Instruct,Kimi-K2-Inst,10,4.195644872527189
simple,Prompted (SC),54.0,percentile_midrank,together-kimik2-Instruct,Kimi-K2-Inst,10,10.193195503270857
simple,Prompted (SC),0.12400254652851372,z_score,together-kimik2-Instruct,Kimi-K2-Inst,10,0.3830753450072044
simple,Prompted (SC),0.9082053538775738,actual_reward_advantage,together-kimik2-Instruct,Kimi-K2-Inst,10,3.4679624536500198
baseline,Control (no SC),52.0,percentile_midrank,together-kimik2-thinking,Kimi-K2-Thinking,10,9.05674838769548
baseline,Control (no SC),-0.02282375206103269,z_score,together-kimik2-thinking,Kimi-K2-Thinking,10,0.3126916609200678
baseline,Control (no SC),1.8108493525094154,actual_reward_advantage,together-kimik2-thinking,Kimi-K2-Thinking,10,2.1646276592730587
control,Emergent (SC),48.33333333333333,percentile_midrank,together-kimik2-thinking,Kimi-K2-Thinking,10,8.681611046941136
control,Emergent (SC),-0.13466915866294868,z_score,together-kimik2-thinking,Kimi-K2-Thinking,10,0.31593906893512685
control,Emergent (SC),-1.5871956211727287,actual_reward_advantage,together-kimik2-thinking,Kimi-K2-Thinking,10,2.740669030761876
simple,Prompted (SC),43.33333333333333,percentile_midrank,together-kimik2-thinking,Kimi-K2-Thinking,10,8.25518916489187
simple,Prompted (SC),-0.1998788459680027,z_score,together-kimik2-thinking,Kimi-K2-Thinking,10,0.3220195785994131
simple,Prompted (SC),-2.2795082005381184,actual_reward_advantage,together-kimik2-thinking,Kimi-K2-Thinking,10,2.850289790916611
