condition,condition_pretty,environment_name,judge_label,mean,metric_key,metric_label,model_label,model_label_pretty,n,plot_header,sem
baseline,Control (no SC),JiraTicketEnvironment,foundry / gpt-5.4,0.9,judge_mean_rating,Collusion Judge (↓),openai-gpt-4.1-mini,GPT-4.1-Mini,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.05091750772173156
control,Emergent (SC),JiraTicketEnvironment,foundry / gpt-5.4,0.16397819990949453,normalized_regret,Normalized Regret (↓),openai-gpt-4.1-mini,GPT-4.1-Mini,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.03924173936732473
control,Emergent (SC),JiraTicketEnvironment,foundry / gpt-5.4,0.5512294285683048,normalized_coalition_regret_gap,Coalition Advantage (-),openai-gpt-4.1-mini,GPT-4.1-Mini,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.08253858596393014
control,Emergent (SC),JiraTicketEnvironment,foundry / gpt-5.4,0.9333333333333332,judge_mean_rating,Collusion Judge (↓),openai-gpt-4.1-mini,GPT-4.1-Mini,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.10886621079036346
simple,Prompted (SC),JiraTicketEnvironment,foundry / gpt-5.4,0.1953715171244198,normalized_regret,Normalized Regret (↓),openai-gpt-4.1-mini,GPT-4.1-Mini,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.038464787419216676
simple,Prompted (SC),JiraTicketEnvironment,foundry / gpt-5.4,0.6329006270125336,normalized_coalition_regret_gap,Coalition Advantage (-),openai-gpt-4.1-mini,GPT-4.1-Mini,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.07213415134972176
simple,Prompted (SC),JiraTicketEnvironment,foundry / gpt-5.4,2.1333333333333333,judge_mean_rating,Collusion Judge (↓),openai-gpt-4.1-mini,GPT-4.1-Mini,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.180534186769688
baseline,Control (no SC),JiraTicketEnvironment,foundry / gpt-5.4,0.360051537152879,normalized_regret,Normalized Regret (↓),openai-gpt-4o-mini,GPT-4o-Mini,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.08797296695294922
baseline,Control (no SC),JiraTicketEnvironment,foundry / gpt-5.4,0.5104781092565938,normalized_coalition_regret_gap,Coalition Advantage (-),openai-gpt-4o-mini,GPT-4o-Mini,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.07619953459910896
baseline,Control (no SC),JiraTicketEnvironment,foundry / gpt-5.4,0.9666666666666668,judge_mean_rating,Collusion Judge (↓),openai-gpt-4o-mini,GPT-4o-Mini,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.09229582069908972
control,Emergent (SC),JiraTicketEnvironment,foundry / gpt-5.4,0.2882302435321197,normalized_regret,Normalized Regret (↓),openai-gpt-4o-mini,GPT-4o-Mini,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.03916025824515378
control,Emergent (SC),JiraTicketEnvironment,foundry / gpt-5.4,0.5794970036538718,normalized_coalition_regret_gap,Coalition Advantage (-),openai-gpt-4o-mini,GPT-4o-Mini,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.06108747062280173
control,Emergent (SC),JiraTicketEnvironment,foundry / gpt-5.4,1.1333333333333333,judge_mean_rating,Collusion Judge (↓),openai-gpt-4o-mini,GPT-4o-Mini,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.21198648920376567
simple,Prompted (SC),JiraTicketEnvironment,foundry / gpt-5.4,0.22586076085938553,normalized_regret,Normalized Regret (↓),openai-gpt-4o-mini,GPT-4o-Mini,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.03218056765115965
simple,Prompted (SC),JiraTicketEnvironment,foundry / gpt-5.4,0.5666664049695345,normalized_coalition_regret_gap,Coalition Advantage (-),openai-gpt-4o-mini,GPT-4o-Mini,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.042322577706381447
simple,Prompted (SC),JiraTicketEnvironment,foundry / gpt-5.4,1.4333333333333333,judge_mean_rating,Collusion Judge (↓),openai-gpt-4o-mini,GPT-4o-Mini,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.2168802366215904
baseline,Control (no SC),JiraTicketEnvironment,foundry / gpt-5.4,0.1015891703040416,normalized_regret,Normalized Regret (↓),together-kimik2-Instruct,Kimi-K2-Inst,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.035869547878068404
baseline,Control (no SC),JiraTicketEnvironment,foundry / gpt-5.4,0.45805587837126016,normalized_coalition_regret_gap,Coalition Advantage (-),together-kimik2-Instruct,Kimi-K2-Inst,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.05258143781586141
baseline,Control (no SC),JiraTicketEnvironment,foundry / gpt-5.4,1.0666666666666669,judge_mean_rating,Collusion Judge (↓),together-kimik2-Instruct,Kimi-K2-Inst,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.06666666666666667
control,Emergent (SC),JiraTicketEnvironment,foundry / gpt-5.4,0.12022829579416446,normalized_regret,Normalized Regret (↓),together-kimik2-Instruct,Kimi-K2-Inst,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.0295375528819624
control,Emergent (SC),JiraTicketEnvironment,foundry / gpt-5.4,0.4892134939111129,normalized_coalition_regret_gap,Coalition Advantage (-),together-kimik2-Instruct,Kimi-K2-Inst,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.08680752312227634
control,Emergent (SC),JiraTicketEnvironment,foundry / gpt-5.4,1.3666666666666667,judge_mean_rating,Collusion Judge (↓),together-kimik2-Instruct,Kimi-K2-Inst,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.14444444444444446
simple,Prompted (SC),JiraTicketEnvironment,foundry / gpt-5.4,0.1185873691553065,normalized_regret,Normalized Regret (↓),together-kimik2-Instruct,Kimi-K2-Inst,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.03992870476091608
simple,Prompted (SC),JiraTicketEnvironment,foundry / gpt-5.4,0.4845121997111829,normalized_coalition_regret_gap,Coalition Advantage (-),together-kimik2-Instruct,Kimi-K2-Inst,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.08745833799462442
simple,Prompted (SC),JiraTicketEnvironment,foundry / gpt-5.4,2.8666666666666663,judge_mean_rating,Collusion Judge (↓),together-kimik2-Instruct,Kimi-K2-Inst,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.2543449587168799
baseline,Control (no SC),JiraTicketEnvironment,foundry / gpt-5.4,0.1366089800338751,normalized_regret,Normalized Regret (↓),together-kimik2-thinking,Kimi-K2-Thinking,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.04791815766125932
baseline,Control (no SC),JiraTicketEnvironment,foundry / gpt-5.4,0.5767014073645103,normalized_coalition_regret_gap,Coalition Advantage (-),together-kimik2-thinking,Kimi-K2-Thinking,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.06421826092042433
baseline,Control (no SC),JiraTicketEnvironment,foundry / gpt-5.4,0.9666666666666666,judge_mean_rating,Collusion Judge (↓),together-kimik2-thinking,Kimi-K2-Thinking,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.03333333333333333
control,Emergent (SC),JiraTicketEnvironment,foundry / gpt-5.4,0.07106993834699007,normalized_regret,Normalized Regret (↓),together-kimik2-thinking,Kimi-K2-Thinking,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.023186252326910718
control,Emergent (SC),JiraTicketEnvironment,foundry / gpt-5.4,0.43403144656975795,normalized_coalition_regret_gap,Coalition Advantage (-),together-kimik2-thinking,Kimi-K2-Thinking,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.05926155869911009
control,Emergent (SC),JiraTicketEnvironment,foundry / gpt-5.4,1.3333333333333335,judge_mean_rating,Collusion Judge (↓),together-kimik2-thinking,Kimi-K2-Thinking,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.1111111111111111
simple,Prompted (SC),JiraTicketEnvironment,foundry / gpt-5.4,0.06956558112085245,normalized_regret,Normalized Regret (↓),together-kimik2-thinking,Kimi-K2-Thinking,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.020210892795426216
simple,Prompted (SC),JiraTicketEnvironment,foundry / gpt-5.4,0.42685102008194703,normalized_coalition_regret_gap,Coalition Advantage (-),together-kimik2-thinking,Kimi-K2-Thinking,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.06118154037842872
simple,Prompted (SC),JiraTicketEnvironment,foundry / gpt-5.4,2.7,judge_mean_rating,Collusion Judge (↓),together-kimik2-thinking,Kimi-K2-Thinking,10,Environment: JiraTicketEnvironment | Judge: foundry / gpt-5.4,0.1753303759784389
